a,b,c,d,e,PM2.5
-0.01068,-0.78807,-0.77169,0.98715,-0.04184,0.194690265
0.18031,-0.89437,-0.85485,0.7698,0.1096,0.14159292
-0.32923,-0.39847,-0.50695,2.11052,0.21904,0.123893805
-0.5618,-0.18443,-0.56231,2.59095,0.38653,0.168141593
-0.53705,-0.66805,-0.71245,1.49221,0.27351,0.14159292
-0.59569,-0.70493,-0.81033,1.34067,0.38918,0.088495575
-0.88961,-0.29578,-0.64108,2.13151,0.43139,0.088495575
-0.72096,-0.86437,-0.88788,0.72953,0.1767,0.132743363
-0.62815,-0.77622,-1.0549,0.49129,0.18028,0.14159292
-0.51599,-0.60031,-1.11413,1.27397,0.25921,0.185840708
-0.56194,-0.43003,-0.97397,1.8187,0.28906,0.150442478
-0.79908,-0.15322,-0.78772,2.08282,0.35181,0.212389381
-0.30174,-0.81308,-0.94414,0.51827,0.10553,0.150442478
-0.0096,-0.65554,-0.59448,-0.5832,0.78273,0.159292035
-0.28217,-0.566,-0.72582,1.39805,0.16396,0.088495575
-0.29196,-0.39621,-0.73134,0.63286,0.46849,0.07079646
-0.60631,-0.66892,-0.73013,1.65478,0.46144,0.07079646
-0.37304,-1.13394,-0.85434,0.61472,0.26868,0.185840708
-0.33754,-0.9665,-0.84009,0.59785,0.4203,0.185840708
-0.03902,-0.971,-0.58401,0.62714,0.18351,0.185840708
0.1162,-1.18105,-0.56448,0.37077,0.06766,0.168141593
0.12827,-1.06023,-0.70487,0.62603,0.36065,0.168141593
-0.19809,-0.88904,-0.65474,0.87065,0.30661,0.203539823
-0.70655,-0.70392,-0.71065,1.23349,0.29598,0.14159292
-0.81879,-0.89895,-0.80313,0.69809,0.35184,0.10619469
-0.88895,-0.9319,-0.71412,0.79704,0.38897,0.017699115
-0.92476,-1.01741,-0.75817,0.66151,0.3594,0.017699115
-0.91847,-1.02336,-0.74876,0.58509,0.40411,0.061946903
-0.962,-1.18534,-0.92611,0.2853,0.23483,0.07079646
-0.90755,-1.16549,-0.85864,0.16278,0.2752,0.07079646
-0.99956,-1.08583,-0.71132,0.64774,0.39533,0.008849558
-1.06306,-0.92791,-0.73342,0.79634,0.4459,0.008849558
-0.72941,-1.41228,-0.85,0.19288,0.31661,0.017699115
-0.6933,-1.58769,-0.58934,0.01624,-0.03258,0.017699115
0.29052,-1.1557,0.22386,-0.30017,0.69508,0.07079646
0.10857,-1.37709,-0.0146,0.53861,0.01164,0.07079646
-0.20613,-1.25722,-0.46542,0.53267,-0.11644,0.079646018
0.05985,0.29138,-0.22598,-0.94471,1.60885,0.044247788
-0.02053,0.90473,-0.5635,-0.12487,1.58629,0.079646018
0.16189,0.92442,-0.72906,-0.71225,1.38389,0.115044248
0.07267,1.21342,-0.85268,-0.1153,1.43233,0.17699115
0.00069,1.00813,-0.93683,-0.40045,1.41814,0.212389381
0.14472,0.83013,-0.83865,-0.4387,1.35748,0.185840708
0.51973,-0.13104,-0.83258,-0.29744,0.56462,0.168141593
0.81471,-1.28965,-0.71883,-0.24189,-0.50353,0.14159292
1.60281,-1.36825,-0.05105,0.39264,-0.24505,0.150442478
0.39962,-1.15503,-0.16873,0.52509,0.42772,0.097345133
-0.06076,-0.98808,-0.27324,0.51954,0.53154,0.061946903
-0.16443,-1.05776,-0.19866,0.54705,0.58361,0.10619469
-0.0005,-1.14851,-0.42271,0.65179,0.62745,0.203539823
-0.02009,-1.25928,-0.45701,0.47476,0.61118,0.256637168
0.00522,-1.35855,-0.48498,0.33289,0.56358,0.230088496
-0.15646,-1.03237,-0.51398,0.56826,0.67171,0.194690265
-0.37033,-1.10034,-0.48524,0.25321,0.58089,0.230088496
-0.48052,-0.90388,-0.65455,0.54317,0.67846,0.221238938
-0.45078,-0.99456,-0.54411,0.61833,0.61334,0.212389381
-0.47657,-1.01906,-0.56859,0.64659,0.69338,0.168141593
-0.45417,-1.12523,-0.31322,0.82874,0.66897,0.185840708
-0.26185,-1.44812,-0.23059,0.54439,0.30802,0.132743363
3.89252,-1.60768,3.42433,0.89434,-0.62793,0.07079646
2.18152,-1.31639,0.7797,1.17667,-1.12359,0.159292035
0.74732,0.75172,-0.64815,-1.39695,0.93034,0.283185841
0.91672,1.1373,-0.64782,-1.04849,0.61535,0.398230088
0.89089,1.46681,-1.05164,-0.26691,1.06559,0.389380531
0.95061,1.56901,-0.16666,-0.08194,0.89335,0.415929204
0.99157,1.21128,0.14629,-0.67203,0.77789,0.327433628
1.72077,0.99142,0.83614,-0.71237,0.52268,0.327433628
1.30722,0.82125,0.21512,-0.61956,0.7486,0.265486726
0.51049,-0.41769,-0.74213,-1.23414,0.48681,0.292035398
0.67434,-1.37064,-0.62298,-0.20826,-0.61834,0.300884956
0.359,-1.31914,-0.63615,0.08361,-0.3442,0.274336283
1.07455,-1.29353,-0.24914,-0.19199,0.14856,0.362831858
1.62843,-1.1006,0.40305,0.12331,0.75088,0.327433628
2.73917,-1.01583,1.1697,0.84858,0.29375,0.415929204
1.22404,-0.72955,0.126,-0.16018,0.04185,0.371681416
0.97365,-0.34883,-0.403,-0.11716,0.25039,0.433628319
0.59947,-0.46196,-1.02219,-0.52144,0.16165,0.504424779
0.53247,-0.23368,-1.14829,-0.84586,0.65983,0.557522124
0.38565,-1.27272,-1.40041,-0.11487,-0.52735,0.469026549
-0.16587,-0.50055,-1.03125,0.71521,0.25522,0.362831858
-0.46077,-0.5557,-0.95856,0.09344,0.23855,0.292035398
-0.14032,-1.27488,-0.95397,0.22096,-0.15531,0.336283186
0.79493,-1.6559,0.22359,0.51516,-0.53576,0.283185841
1.45361,-1.6893,0.93696,0.95501,-0.76304,0.309734513
0.15698,0.51509,-0.16885,-0.33852,1.65355,0.292035398
0.10407,0.45597,-0.45259,-0.44677,1.60091,0.300884956
-0.31033,-0.36411,-1.19836,0.19655,-0.0403,0.283185841
-0.57527,-0.12566,-0.92877,0.52831,-0.33339,0.194690265
-0.6029,-0.01611,-0.8681,-0.20786,0.01438,0.185840708
-0.60448,-0.21633,-0.96014,-0.26589,-0.17061,0.17699115
-0.71349,-0.08502,-0.91826,0.25736,0.0329,0.221238938
-0.53143,-0.39036,-0.60203,-0.04377,0.05172,0.230088496
-0.5285,-0.7693,-0.38557,0.10851,0.06468,0.132743363
-0.391,-0.70744,-0.2317,-0.6904,0.5977,0.150442478
-0.56893,-0.91644,-0.38869,-0.84183,0.4097,0.203539823
-0.63986,-0.89518,-0.53072,-0.55706,0.31478,0.212389381
-0.78148,-0.93917,-0.52169,-0.07149,0.18944,0.168141593
-0.78116,-1.21583,-0.73688,0.05174,0.39798,0.061946903
-0.8481,-1.36366,-0.82126,0.20862,0.14332,0.088495575
-0.66547,-1.01364,-0.49816,-1.15899,1.13125,0.097345133
-0.57803,-0.83256,-0.53071,-1.04782,1.0777,0.097345133
-0.83638,-0.9585,-0.73203,0.21648,0.592,0.097345133
-0.81725,-1.20477,-0.96743,-0.31551,0.34943,0.123893805
-0.80835,-1.13917,-1.10889,-0.13328,0.27562,0.168141593
-0.86475,-0.97088,-0.98396,0.38179,0.35547,0.150442478
-0.70652,-1.36023,-0.94447,-0.22388,0.21765,0.07079646
-0.37515,-1.18933,-0.79925,0.31517,0.40178,0.053097345
-0.45501,-1.07646,-0.85116,0.49857,0.30036,0.026548673
-0.4053,-0.97162,-0.95329,0.15575,0.34575,0.10619469
-0.25843,-0.45925,-0.80155,0.32415,0.59672,0.079646018
-0.07964,-0.15237,-0.55312,-0.2645,0.99686,0.194690265
-0.06994,-0.33281,-0.99728,0.62672,0.0735,0.159292035
0.06312,-0.23108,-0.97984,-0.0742,0.33585,0.212389381
-0.08031,-0.39156,-1.2562,0.47527,0.02817,0.168141593
-0.15558,-0.50083,-1.16641,0.48784,0.24032,0.265486726
-0.04963,-0.86059,-1.2828,0.31284,-0.06171,0.345132743
0.3323,-1.35647,-1.35531,0.26646,-0.35533,0.389380531
0.21143,-1.04542,-1.16891,0.33289,0.14912,0.398230088
-0.03815,-1.14634,-1.03368,0.1145,-0.01928,0.433628319
-0.11268,-1.08872,-0.99659,0.44793,0.01105,0.424778761
-0.39056,-1.28024,-1.18752,0.39716,-0.05371,0.327433628
-0.27914,-1.28302,-0.99909,0.36164,0.02093,0.230088496
-0.52101,-1.15661,-1.16819,0.67146,0.07962,0.212389381
-0.42975,-1.33023,-1.08535,0.34336,0.17194,0.265486726
-0.25343,-0.98341,-0.9773,0.12586,-0.35121,0.212389381
-0.39309,-0.85212,-0.81268,0.34675,-0.10369,0.194690265
-0.32246,-0.72054,-0.73965,0.26965,0.10534,0.194690265
-0.373,-0.5228,-0.54428,0.28524,0.02245,0.274336283
-0.2955,-0.43472,-0.77087,0.4096,0.34346,0.238938053
-0.39908,-0.48651,-0.71627,0.19059,0.09393,0.238938053
-0.64101,0.33881,-0.57831,2.56818,0.28461,0.238938053
-0.70108,0.28995,-0.67195,2.27174,0.15058,0.212389381
-0.13356,-0.28433,-0.85683,0.70674,0.03653,0.150442478
-0.78975,-0.02611,-0.85683,2.04606,0.32092,0.044247788
-0.05489,-0.08436,-0.73066,-0.61387,1.32487,0.061946903
-0.15563,-0.3048,-0.7585,-0.22555,1.08023,0.061946903
-0.29087,-0.87906,-0.84304,0.55968,0.46056,0.079646018
-0.34484,-0.75987,-0.76999,0.96049,0.55395,0.097345133
-0.29144,-1.03845,-0.72933,0.56845,0.42522,0.061946903
-0.44672,-0.6354,-0.8702,0.88971,0.69548,0.044247788
-0.3848,-0.59838,-0.73226,1.4984,0.59119,0.07079646
-0.30719,-0.97357,-0.87324,0.58965,0.41555,0.132743363
-0.42842,-1.10491,-0.91015,0.41517,0.43217,0.185840708
-0.44577,-1.07936,-0.96242,0.54897,0.41981,0.159292035
-0.68943,-1.02544,-0.88842,0.38645,0.39659,0.132743363
-0.75742,-1.17819,-0.91328,0.49751,0.26074,0.123893805
-0.77788,-1.26988,-0.9111,0.41666,0.32407,0.088495575
-1.03774,-1.10914,-0.90118,-0.03823,0.18197,0.088495575
-0.99769,-1.02192,-0.98481,-0.27927,0.11614,0.044247788
-1.0408,-0.98047,-0.86899,-0.02056,0.20897,0.079646018
-1.06017,-0.94558,-1.00017,-0.11819,0.15045,0.053097345
-1.12332,-0.79277,-1.14533,0.15048,0.06492,0.132743363
-0.91303,-1.12615,-1.32926,0.1904,0.2318,0.10619469
-1.0666,-0.5754,-1.01005,0.83404,0.02588,0.123893805
-0.779,-0.19802,-0.92818,1.6829,0.07039,0.044247788
-1.01061,-0.24221,-1.40144,0.93486,-0.18471,0.088495575
-0.90564,-0.29148,-1.64882,0.19622,-0.40892,0.14159292
-0.43647,0.89257,-1.04881,-1.7989,1.18387,0.212389381
